3.385,44.5
0.48,15.5
1.35,8.1
465,423
36.33,119.5
27.66,115
14.83,98.2
1.04,5.5
4.19,58
0.425,6.4
0.101,4
0.92,5.7
1,6.6
0.005,0.14
0.06,1
3.5,10.8
2,12.3
1.7,6.3
2547,4603
0.023,0.3
187.1,419
521,655
0.785,3.5
10,115
3.3,25.6
0.2,5
1.41,17.5
529,680
207,406
85,325
0.75,12.3
62,1320
6654,5712
3.5,3.9
6.8,179
35,56
4.05,17
0.12,1
0.023,0.4
0.01,0.25
1.4,12.5
250,490
2.5,12.1
55.5,175
100,157
52.16,440
10.55,179.5
0.55,2.4
60,81
3.6,21
4.288,39.2
0.28,1.9
0.075,1.2
0.122,3
0.048,0.33
192,180
3,25
160,169
0.9,2.6
1.62,11.4
0.104,2.5
4.235,50.4
